IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.212.219,8880,8880,false,SIN,Asia Pacific,Singapore,65,3.39
8.222.182.10,2082,2082,false,SIN,Asia Pacific,Singapore,294,3.39
8.222.137.178,8080,8080,false,SIN,Asia Pacific,Singapore,130,3.38
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,75,3.37
47.245.115.6,80,80,false,SIN,Asia Pacific,Singapore,61,3.37
8.222.174.108,80,80,false,SIN,Asia Pacific,Singapore,143,3.36
8.222.168.24,2083,2083,true,SIN,Asia Pacific,Singapore,47,3.36
47.236.145.180,8880,8880,false,SIN,Asia Pacific,Singapore,125,3.36
47.236.116.208,2096,2096,true,SIN,Asia Pacific,Singapore,56,3.35
8.222.137.166,2082,2082,false,SIN,Asia Pacific,Singapore,141,3.35
8.222.221.197,2053,2053,true,SIN,Asia Pacific,Singapore,49,3.35
8.222.160.61,2082,2082,false,SIN,Asia Pacific,Singapore,71,3.33
8.222.160.61,8080,8080,false,SIN,Asia Pacific,Singapore,56,3.33
8.219.193.22,8080,8080,false,SIN,Asia Pacific,Singapore,52,3.32
8.222.159.252,8443,8443,true,SIN,Asia Pacific,Singapore,114,3.31
8.222.131.102,2082,2082,false,SIN,Asia Pacific,Singapore,50,3.31
8.222.221.197,2095,2095,false,SIN,Asia Pacific,Singapore,63,3.30
47.236.144.196,2095,2095,false,SIN,Asia Pacific,Singapore,52,3.30
47.236.114.167,8443,8443,true,SIN,Asia Pacific,Singapore,72,3.29
8.222.212.172,2053,2053,true,SIN,Asia Pacific,Singapore,62,3.29
8.222.164.44,2096,2096,true,SIN,Asia Pacific,Singapore,60,3.28
8.219.210.226,2053,2053,true,SIN,Asia Pacific,Singapore,57,3.28
8.219.186.189,2095,2095,false,SIN,Asia Pacific,Singapore,74,3.28
47.236.83.196,8080,8080,false,SIN,Asia Pacific,Singapore,68,3.28
47.236.144.208,2095,2095,false,SIN,Asia Pacific,Singapore,53,3.27
47.236.7.246,2052,2052,false,SIN,Asia Pacific,Singapore,186,3.27
47.236.97.254,2095,2095,false,SIN,Asia Pacific,Singapore,55,3.27
8.222.155.242,2095,2095,false,SIN,Asia Pacific,Singapore,218,3.27
8.222.129.245,2053,2053,true,SIN,Asia Pacific,Singapore,57,3.26
47.236.4.129,8443,8443,true,SIN,Asia Pacific,Singapore,105,3.25
8.222.237.131,2096,2096,true,SIN,Asia Pacific,Singapore,74,3.25
8.219.248.170,2053,2053,true,SIN,Asia Pacific,Singapore,133,3.25
8.222.159.252,8880,8880,false,SIN,Asia Pacific,Singapore,46,3.23
8.219.248.170,2087,2087,true,SIN,Asia Pacific,Singapore,146,3.22
8.222.169.182,2052,2052,false,SIN,Asia Pacific,Singapore,50,3.22
8.222.214.231,2052,2052,false,SIN,Asia Pacific,Singapore,128,3.22
8.222.224.162,8080,8080,false,SIN,Asia Pacific,Singapore,89,3.21
47.236.104.11,2083,2083,true,SIN,Asia Pacific,Singapore,63,3.19
47.236.79.77,2087,2087,true,SIN,Asia Pacific,Singapore,51,3.19
8.222.221.197,2052,2052,false,SIN,Asia Pacific,Singapore,88,3.18
8.222.160.61,2086,2086,false,SIN,Asia Pacific,Singapore,52,3.17
47.236.116.208,2052,2052,false,SIN,Asia Pacific,Singapore,66,3.17
8.219.222.98,8080,8080,false,SIN,Asia Pacific,Singapore,181,3.17
8.222.147.203,2086,2086,false,SIN,Asia Pacific,Singapore,49,3.16
47.236.99.131,8080,8080,false,SIN,Asia Pacific,Singapore,105,3.16
8.222.224.163,2083,2083,true,SIN,Asia Pacific,Singapore,175,3.16
8.222.180.86,8443,8443,true,SIN,Asia Pacific,Singapore,49,3.16
8.222.168.234,2095,2095,false,SIN,Asia Pacific,Singapore,52,3.15
47.245.107.174,2087,2087,true,SIN,Asia Pacific,Singapore,86,3.15
47.236.116.182,2052,2052,false,SIN,Asia Pacific,Singapore,67,3.15
8.222.248.188,8080,8080,false,SIN,Asia Pacific,Singapore,63,3.15
8.222.137.178,8880,8880,false,SIN,Asia Pacific,Singapore,199,3.15
47.245.115.6,2083,2083,true,SIN,Asia Pacific,Singapore,61,3.14
47.236.116.182,2096,2096,true,SIN,Asia Pacific,Singapore,59,3.14
47.236.117.48,2096,2096,true,SIN,Asia Pacific,Singapore,119,3.14
8.222.130.137,2095,2095,false,SIN,Asia Pacific,Singapore,124,3.13
8.222.168.24,2086,2086,false,SIN,Asia Pacific,Singapore,57,3.13
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,53,3.13
47.245.115.6,2052,2052,false,SIN,Asia Pacific,Singapore,79,3.13
47.236.104.11,8880,8880,false,SIN,Asia Pacific,Singapore,57,3.12
8.222.136.196,8880,8880,false,SIN,Asia Pacific,Singapore,89,3.12
47.236.116.182,8080,8080,false,SIN,Asia Pacific,Singapore,51,3.12
8.219.198.139,2096,2096,true,SIN,Asia Pacific,Singapore,80,3.11
8.222.175.78,2086,2086,false,SIN,Asia Pacific,Singapore,82,3.11
